Lookup,Act and section under which proceedings can be taken,Offence description,Magistrates' Courts: Maximum sentence *[12 months] or [51 weeks] on commencement of SS.154(1) or 281(5) CJA 2003,Magistrates' Courts: Offense classification: When committed for trial to the Crown Court or discharge under S.6 MCA 1988,Magistrates' Courts: Offense classification: when dealt with: under 18,Magistrates' Courts: Offense classification: when dealt with: 18 and over,Crown Court:Maximum sentence, Crown Court: Offense classification: For trial,Crown Court:Maximum sentence, Crown Court: Offense classification: For sentence only following conviction in lower court, Record as an offence on form Crimsec 3?, Year of insertion into code books
9265,,,Other Class 'B' / CJS: MD71225+ / [Class 'C' Drug]:-,3 months or L4 or both,S 92/65,S 92/65,S 92/65,5 years,S 92/65,S 92/65,Yes,2009 or earlier
9267,,,Anabolic Steroids / CJS: MD71340,3 months or L3 or both,S 92/67,S 92/67,S 92/67,2 years,S 92/67,S 92/67,Yes,2009 or earlier
9371,added by / Misuse of Drugs Act 1971 (Amendment) Order 2009,,GHB 4-Hydroxy-n-butric acid / CJS: MD71396+,3 months or L3 or both,S 93/71,S 93/71,S 93/71,2 years,S 93/71,S 93/71,Yes,2009 or earlier
9372,,,Ketamine (Special K or Club 'horse' drug) / CJS: MD71500+,3 months or L3 or both,S 93/72,S 93/72,S 93/72,2 years,S 93/72,S 93/72,Yes,2009 or earlier
9369,added by / Misuse of Drugs Act 1971 (Amendment) Order 2009,,"Gamma-butyrolactone (GBL) and 1,4-butanediol (1,4-BD) / CJS: MD71570 & 73",3 months or L3 or both,S 93/69,S 93/69,S 93/69,2 years,S 93/69,S 93/69,Yes,2010 April
9370,added by / Misuse of Drugs Act 1971 (Amendment) Order 2009,,Piperazines (including BZP) / CJS:MD71546 & 49,3 months or L3 or both,S 93/70,S 93/70,S 93/70,2 years,S 93/70,S 93/70,Yes,2010 April
9268,added by / Misuse of Drugs Act 1971 (Amendment) Order 2009,,Other Class 'C' / CJS: MD71022+,3 months or L3 or both,S 92/68,S 92/68,S 92/68,2 years,S 92/68,92/68,Yes,2009 or earlier
9269, / Misuse of Drugs Act 1971 , / S.5(3),Class unspecified / CJS: MD71023+ / Having possession of a controlled drug with intent to supply,6 months or L5 or both,S 92/69,S 92/69,S 92/69,7 years,S 92/69,S 92/69,Yes,2009 or earlier
9270,Misuse of Drugs Act 1971 / Misuse of Drugs Act 1971,,Cocaine / CJS: MD71230+,6 months or L5 or both,S 92/70,S 92/70,S 92/70,Life,S 92/70,S 92/70,Yes,2009 or earlier
9274,Misuse of Drugs Act 1971,,Crack / CJS: MD71234+,6 months or L5 or both,S 92/74,S 92/74,S 92/74,Life,S 92/74,S 92/74,Yes,2009 or earlier
9271,Misuse of Drugs Act 1971,,Heroin / CJS: MD71231+,6 months or L5 or both,S 92/71,S 92/71,S 92/71,Life,S 92/71,S 92/71,Yes,2009 or earlier
9272,Misuse of Drugs Act 1971,,LSD / CJS: MD71232+,6 months or L5 or both,S 92/72,S 92/72,S 92/72,Life,S 92/72,S 92/72,Yes,2009 or earlier
9273,Misuse of Drugs Act 1971,,MDMA / CJS: MD71233+,6 months or L5 or both,S 92/73,S 92/73,S 92/73,Life,S 92/73,S 92/73,Yes,2009 or earlier
9275,Misuse of Drugs Act 1971,,Methadone / CJS: MD71235+,6 months or L5 or both,S 92/75,S 92/75,S 92/75,Life,S 92/75,S 92/75,Yes,2009 or earlier
9373,Misuse of Drugs Act 1971,,Methylamphetamine (Crystal Meth) / CJS: MD71508+,6 months or L5 or both,S 93/73,S 93/73,S 93/73,Life,S 937/73,S 93/73,Yes,2009 or earlier
9279,Misuse of Drugs Act 1971,,Other Class 'A' / CJS: MD71239+ / [Class 'B' Drug]:-,6 months or L5 or both,S 92/79,S 92/79,S 92/79,Life,S 92/79,S 92/79,Yes,2009 or earlier
9280,Misuse of Drugs Act 1971,,Amphetamine / CJS: MD71240+,6 months or L2 or both,S 92/80,S 92/80,S 92/80,14 years,S 92/80,S 92/80,Yes,2009 or earlier
9281,as amended by / Misuse of Drugs Act 1971 (Amendment) Order 2008,,Cannabis and cannabis resin; Cannabinol; Cannabinol derivatives / CJS: MD71517 & 26,6 months or L5 or both,S 92/81,S 92/81,S 92/81,14 years,S 92/81,S 92/81,Yes,2009 or earlier
9282,added by / Misuse of Drugs Act 1971 (Amendment) Order 2009,,Synthetic cannabinoid agonists / CJS: MD71553,6 months or L5 or both,S 92/82,S 92/82,S 92/82,14 years,S 92/82,S 92/82,Yes,2010 April
9283,added by / Misuse of Drugs Act 1971 (Amendment) Order 2010 / [SI 2010/1207], / A.2,4-Methylmethcathinone (Mephedrone or Methcathinone) / CJS: MD71574,6 months or L5 or both,S 92/83,S 92/83,S 92/83,14 years,S 92/83,S 92/83,Yes,2012
9285,,,Other Class 'B' / CJS: MD71245+ / [Class 'C' Drug]:-,6 months or L2 or both,S 92/85,S 92/85,S 92/85,14 years,S 92/85,S 92/85,Yes,2009 or earlier
9287,added by / Misuse of Drugs Act 1971 (Amendment) Order 2009,,Anabolic Steroids / CJS: MD71441+,3 months or L4 or both,S 92/87,S 92/87,S 92/87,14 years,S 92/87,S 92/87,Yes,2009 or earlier
9377,,,GHB 4 - Hydroxy-n-butric acid / CJS: MD71492+,3 months or L4 or both,S 93/77,S 93/77,S 93/77,14 years,S 93/77,S 93/77,Yes,2009 or earlier
9378,,,Ketamine (Special K or Club 'horse' drug) / CJS: MD71501+,3 months or L4 or both,S 93/78,S 93/78,S 93/78,14 years,S 93/78,S 93/78,Yes,2009 or earlier
9375,added by / Misuse of Drugs Act 1971 (Amendment) Order 2009,,"Gamma-butyrolactone (GBL) and 1,4-butanediol (1,4-BD) / CJS: MD71544 & 71",3 months or L4 or both,S 93/75,S 93/75,S 93/75,14 years,S 93/75,S 93/75,Yes,2010 April
9376,added by / Misuse of Drugs Act 1971 (Amendment) Order 2009,,Piperazines (including BZP) / CJS:MD71547 & 50,3 months or L4 or both,S 93/76,S 93/76,S 93/76,14 years,S 93/76,S 93/76,Yes,2010 April
9288,added by / Misuse of Drugs Act 1971 (Amendment) Order 2009,,Other Class 'C' / CJS: MD71442 & 556,3 months or L4 or both,S 92/88,S 92/88,S 92/88,14 years,S 92/88,S 92/88,Yes,2009 or earlier
9289, / Misuse of Drugs Act 1971 / as amended by / Criminal Justice and Public Order Act 1994 , / S.8 & Sch.2 / S.157 & Sch.8 Part II,Class unspecified / CJS: MD71027 / Permitting premises to be used for unlawful purposes / [Class 'A' Drug],6 months or L5 or both,S 92/89,S 92/89,S 92/89,Life,S 92/89,S 92/89,Yes,2009 or earlier
9310,Misuse of Drugs Act 1971 ,,Cocaine / CJS: MD71343/356,6 months or L5 or both,S 93/10,S 93/10,S 93/10,14 years,S 93/10,S 93/10,Yes,2009 or earlier
9314,Misuse of Drugs Act 1971,,Crack / CJS: MD71347/360,6 months or L5 or both,S 93/14,S 93/14,S 93/14,14 years,S 93/14,S 93/14,Yes,2009 or earlier
9311,Misuse of Drugs Act 1971,,Heroin / CJS: MD71344/357,6 months or L5 or both,S 93/11,S 93/11,S 93/11,14 years,S 93/11,S 93/11,Yes,2009 or earlier
9312,Misuse of Drugs Act 1971,,LSD / CJS: MD71345/358,6 months or L5 or both,S 93/12,S 93/12,S 93/12,14 years,S 93/12,S 93/12,Yes,2009 or earlier
9313,Misuse of Drugs Act 1971,,MDMA / CJS: MD71346/359,6 months or L5 or both,S 93/13,S 93/13,S 93/13,14 years,S 93/13,S 93/13,Yes,2009 or earlier
9315,Misuse of Drugs Act 1971,,Methadone / CJS: MD71348/361,6 months or L5 or both,S 93/15,S 93/15,S 93/15,15 years,S 93/15,S 93/15,Yes,2009 or earlier
9379,Misuse of Drugs Act 1971,,Methylamphetamine (Crystal Meth) / CJS: MD71509/11,6 months or L5,S 93/79,S 93/79,S 93/79,14 years,S 93/79,S 93/79,Yes,2009 or earlier
9319,Misuse of Drugs Act 1971,,Other Class 'A' / CJS: MD71042+ / [Class 'B' Drug]:-,6 months or L5 or both,S 93/19,S 93/19,S 93/19,19 years,S 93/19,S 93/19,Yes,2009 or earlier
9320,Misuse of Drugs Act 1971,,Amphetamine / CJS: MD71350/63,6 months or L5 or both,S 93/20,S 93/20,S 93/20,14 years,S 93/20,S 93/20,Yes,2009 or earlier
9321,as amended by / Misuse of Drugs Act 1971 (Amendment) Order 2008,,Cannabis and cannabis resin; Cannabinol; Cannabinol derivatives / CJS: MD71518+,6 months or L5 or both,S 93/21,S 93/21,S 93/21,14 years,S 93/21,S 93/21,Yes,2009 or earlier
9322,added by / Misuse of Drugs Act 1971 (Amendment) Order 2009,,Synthetic cannabinoid agonists / CJS: MD71559,6 months or L5 or both,S 93/22,S 93/22,S 93/22,14 years,S 93/22,S 93/22,Yes,2010 April
9323,Misuse of Drugs Act 1971,,4-Methylmethcathinone (Mephedrone or Methcathinone) / CJS: MD71579+,6 months or L5 or both,S 93/23,S 93/23,S 93/23,14 years,S 93/23,S 93/23,Yes,2009 or earlier
9325,Misuse of Drugs Act 1971,,Other Class 'B' / CJS: MD71352/65 / [Class 'C' Drug]:-,6 months or L5 or both,S 93/25,S 93/25,S 93/25,14 years,S 93/25,S 93/25,Yes,2009 or earlier
9327,Misuse of Drugs Act 1971 / added by / Misuse of Drugs Act 1971 (Amendment) Order 2009,,Anabolic Steroids / CJS: MD71470/72,3 months or L4 or both,S 93/27,S 93/27,S 93/27,14 years,S 93/27,S 93/27,Yes,2009 or earlier
9383,Misuse of Drugs Act 1971,,GHB 4-Hydroxy-n-butric acid / CJS: MD71474-5,3 months or L4 or both,S 93/83,S 93/83,S 93/83,14 years,S 93/83,S 93/83,Yes,2009 or earlier
9384,Misuse of Drugs Act 1971,,Ketamine (Special K or Club 'horse' drug) / CJS: MD71502,3 months or L4 or both,S 93/84,S 93/84,S 93/84,14 years,S 93/84,S 93/84,Yes,2009 or earlier
9381,added by / Misuse of Drugs Act 1971 (Amendment) Order 2009,,"Gamma-butyrolactone (GBL) and 1,4-butanediol (1,4-BD) / CJS: MD71561 & 63",3 months or L4 or both,S 93/81,S 93/81,S 93/81,14 years,S 93/81,S 93/81,Yes,2010 April
9382,added by / Misuse of Drugs Act 1971 (Amendment) Order 2009,,Piperazines (including BZP) / CJS:MD71565 & 67,3 months or L4 or both,S 93/82,S 93/82,S 93/82,14 years,S 93/82,S 93/82,Yes,2010 April
9328,added by / Misuse of Drugs Act 1971 (Amendment) Order 2009,,Other Class 'C' / CJS: MD71471/73 & 569,3 months or L4 or both,S 93/28,S 93/28,S 93/28,14 years,S 93/28,S 93/28,Yes,2009 or earlier
9329,Misuse of Drugs Act 1971,,Class unspecified / CJS: MD71355/368,6 months or L5 or both,S 93/29,S 93/29,S 93/29,14 years,S 93/29,S 93/29,Yes,2009 or earlier
9340,Misuse of Drugs Act 1971, S.9,Offences relating to opium / CJS: MD71046+,,S 93/40,S 93/40,S 93/40,14 years,S 93/40,S 93/40,Yes,2009 or earlier
19346,Misuse of Drugs Act 1971, S.9A,Supply etc of articles for administering or preparing controlled drugs / CJS: MD71051-54,6 months or L5 or both,-,S 193/46,S 193/46,-,-,S 193/46,Yes,2009 or earlier
9340,Misuse of Drugs Act 1971, S.11(2),Contravention of directions relating to safe custody of drugs / CJS: MD71055,6 months or L5 or both,S 93/40,S 93/40,S 93/40,2 years,S 93/40,S 93/40,Yes,2009 or earlier
930,Misuse of Drugs Act 1971, S.12(6),Practitioner contravening directions under S.12(6) concerning possessing or prescribing controlled drugs [Class A & B] / CJS: MD71056-7,6 months or L5 or both,S 93/40,S 93/40 ,S 93/40 ,14 years,S 93/40,S 93/40,Yes,2009 or earlier
930,Misuse of Drugs Act 1971, S.13(3),Practitioner contravening directions under S.13(1) or (2) concerning possessing or prescribing controlled drugs [Class A & B] / CJS: MD71059-60,6 months or L5 or both,S 93/40,S 93/40 ,S 93/40 ,14 years,S 93/40,S 93/40,Yes,2009 or earlier
19311,Misuse of Drugs Act 1971, S.17(3),"Failure to comply with notice requiring information relating to prescribing, supply etc of drugs / CJS: MD71062",L3,-,S 193/11,S 193/11,-,-,S 193/11,Yes,2009 or earlier
930,Misuse of Drugs Act 1971, S.17(4),"Giving false information in purported compliance with notice requiring information relating to prescribing, supply etc of drugs / CJS: MD71063",6 months or L5 or both,S 93/40,S 93/40 ,S 93/40 ,2 years,S 93/40,S 93/40,Yes,2009 or earlier
9999,Misuse of Drugs Act 1971, S.18(1),Offences against regulations (not Misuse of Drugs (Safe Custody) Regulations 1973) (and see Misuse of Drugs Regulations 1985) / CJS: MD71064,6 months or L5 or both,99/99,99/99,99/99,14 years,99/99,99/99,Yes,2009 or earlier
930,Misuse of Drugs Act 1971, S.18(2),Contravention of terms of licence or other authority / CJS: MD71065,6 months or L5 or both,S 93/40,S 93/40 ,S 93/40 ,2 years,S 93/40,S 93/40,Yes,2009 or earlier
930,Misuse of Drugs Act 1971, S.18(3),Giving false information in purported compliance with obligation to give information imposed under or by virtue of regulations / CJS: MD71066,6 months or L5 or both,S 93/40,S 93/40 ,S 93/40 ,2 years,S 93/40,S 93/40,Yes,2009 or earlier
930,Misuse of Drugs Act 1971, S.18(4),Giving false information or producing document etc containing false statement / CJS: MD71067,6 months or L5 or both,S 93/40,S 93/40 ,S 93/40 ,2 years,S 93/40,S 93/40,Yes,2009 or earlier
9290,Misuse of Drugs Act 1971, S.19,Incite another to supply a class A controlled drug / CJS: MD71515,6 months or L5 or both,S 92/90,S 92/90,S 92/90,Life,S 92/90,S 92/90,Yes,2009 or earlier
9291,Misuse of Drugs Act 1971, S.19,Incite another to supply a class B controlled drug / CJS: MD71514,6 months or L5 or both,S 92/91,S 92/91,S 92/91,14 years,S 92/91,S 92/91,Yes,2009 or earlier
9292,Misuse of Drugs Act 1971, S.19,Incite another to supply a class C controlled drug / CJS: MD71513,"3 months or £2,500 or both",S 92/92,S 92/92,S 92/92,14 years,S 92/92,S 92/92,Yes,2009 or earlier
9293,Misuse of Drugs Act 1971, S.19,Incite another to supply a controlled drug class unspecified / CJS: MD71516,6 months or L5 or both,S 92/93,S 92/93,S 92/93,Life,S 92/93,S 92/93,Yes,2009 or earlier
9340,Misuse of Drugs Act 1971, S.20,Assisting in or inducing commission outside United Kingdom of an offence punishable under a corresponding law / CJS: MD71068-69,6 months or L5 or both,S 93/40,S 93/40,S 93/40,14 years,S 93/40,S 93/40,Yes,2009 or earlier
9330,Misuse of Drugs Act 1971, S.23(4),"Obstructing exercise of powers of search etc or concealing books, drugs etc. / CJS: MD71070-2",6 months or L5 or both,S 93/30,S 93/30,S 93/30,2 years,S 93/30,S 93/30,Yes,2009 or earlier
9389,Misuse of Drugs Act 1971 / added by / Police Reform and Social Responsibility Act 2011,SS.23A(6) & 25(3A) / Sch.17,"Obstructing a PC in exercise of a S.23A(6) power to detain or search a person, vehicle or vessel regarding a drug the subject of a temporary class drug order / CJS: MD71076","6 months or £5,000 or both",093/89,093/89,093/89,"2 years or fine, or both",093/89,093/89,Yes,2012
9340,Misuse of Drugs Regulations 1985,R.14(1),Delivering drugs to a person who does not produce required statement. / CJS:,6 months or L5 or both,S 93/40,S 93/40,S 93/40,2 years,S 93/40,S 93/40,Yes,2009 or earlier
9340,Misuse of Drugs Regulations 1985,R.14(2),Delivering drugs to specified persons without obtaining required requisition or on a requisition which does not apply. / CJS:,6 months or L5 or both,S 93/40,S 93/40,S 93/40,2 years,S 93/40,S 93/40,Yes,2009 or earlier
9340,Misuse of Drugs Regulations 1985,R.14(3),Failure to furnish a requisition within 24 hours of undertaking. / CJS:,6 months or L5 or both,S 93/40,S 93/40,S 93/40,2 years,S 93/40,S 93/40,Yes,2009 or earlier
9340,Misuse of Drugs Regulations 1985,R.14(5),Delivering drugs to Matron or Master of foreign ship on a requisition which is not countersigned by a specified medical practitioner. / CJS:,6 months or L5 or both,S 93/40,S 93/40,S 93/40,2 years,S 93/40,S 93/40 ,Yes,2009 or earlier
9340,Misuse of Drugs Regulations 1985,R.14(6),Dispenser at Hospital or Nursing Home issuing drugs without requisition or on a requisition that does not apply. / CJS:,6 months or L5 or both,S 93/40,S 93/40,S 93/40,2 years,S 93/40,S 93/40,Yes,2009 or earlier
9340,Misuse of Drugs Regulations 1985,R.15(1),Issuing prescription which does not comply with requirements. / CJS:,6 months or L5 or both,S 93/40,S 93/40,S 93/40,2 years,S 93/40,S 93/40,Yes,2009 or earlier
9340,Misuse of Drugs Regulations 1985,R.16(1),Supplying drugs on a prescription otherwise than in accordance with Reg 15 / CJS:,6 months or L5 or both,S 93/40,S 93/40,S 93/40,2 years,S 93/40,S 93/40,Yes,2009 or earlier
9340,Misuse of Drugs Regulations 1985,R.16(2),Dispenser failing to mark date of dispensing on a prescription or to retain it. / CJS:,6 months or L5 or both,S 93/40,S 93/40,S 93/40,2 years,S 93/40,S 93/40,Yes,2009 or earlier
9340,Misuse of Drugs Regulations 1985,R.16(3),Supplying drugs on prescription otherwise than in accordance with the directions as to instalments. / CJS:,6 months or L5 or both,S 93/40,S 93/40,S 93/40,2 years,S 93/40,S 93/40,Yes,2009 or earlier
9340,Misuse of Drugs Regulations 1985,R.18(1),Supplying a drug in a container which is not marked with details of the contents. / CJS:,6 months or L5 or both,S 93/40,S 93/40,S 93/40,2 years,S 93/40,S 93/40,Yes,2009 or earlier
9340,Misuse of Drugs Regulations 1985,R.19(1),"Authorised person failing to keep a proper ""Register"" showing particulars of drugs obtained by him or supplied by him or failing to keep separate register for different drugs. / CJS:",6 months or L5 or both,S 93/40,S 93/40,S 93/40,2 years,S 93/40,S 93/40,Yes,2009 or earlier
9340,Misuse of Drugs Regulations 1985,R.19(1),Master of ship or manager of shore installation failing to keep register or in accordance with Reg 21(1) and (2) to make any entry in the log book of drugs supplied by him. / CJS:,6 months or L5 or both,S 93/40,S 93/40,S 93/40,2 years,S 93/40,S 93/40,Yes,2009 or earlier
9340,Misuse of Drugs Regulations 1985,R.20,"Keeping record of class of drug, date, no alteration of entry, mark in ink. / CJS:",6 months or L5 or both,S 93/40,S 93/40,S 93/40,2 years,S 93/40,S 93/40,Yes,2009 or earlier
9340,Misuse of Drugs Regulations 1985,R.21(3),"Midwife failing to record in a book, particulars of drugs obtained or administered by her. / CJS:",6 months or L5 or both,S 93/40,S 93/40,S 93/40,2 years,S 93/40,S 93/40,Yes,2009 or earlier
9340,Misuse of Drugs Regulations 1985,R.23,"All registers and books preserved for two years from last entry, requisition or prescription preserved for two years last delivery. / CJS:",6 months or L5 or both,S 93/40,S 93/40,S 93/40,2 years,S 93/40,S 93/40,Yes,2009 or earlier
9340,Misuse of Drugs Regulations 1985,R.24,Producer and wholesale dealer of drugs to keep every invoice or other record issued for each quantity obtained by him. / CJS:,6 months or L5 or both,S 93/40,S 93/40,S 93/40,2 years,S 93/40,S 93/40,Yes,2009 or earlier
9340,Misuse of Drugs Regulations 1985,R.25,"Failing to furnish particulars of drug obtained and supplied or held, produce such drug in his possession, produce register and other books relating to drugs. / CJS:",6 months or L5 or both,S 93/40,S 93/40,S 93/40,2 years,S 93/40 ,S 93/40,Yes,2009 or earlier
9340,Misuse of Drugs Regulations 1985,R.26(1),Drug to be destroyed in presence of authorised person. / CJS:,6 months or L5 or both,S 93/40,S 93/40,S 93/40,2 years,S 93/40 ,S 93/40,Yes,2009 or earlier
9340,Misuse of Drugs Regulations 1985,R.26(3),Record should include particulars of date of destruction and quantity. / CJS:,6 months or L5 or both,S 93/40,S 93/40,S 93/40,2 years,S 93/40,S 93/40,Yes,2009 or earlier
9340,Misuse of Drugs Regulations 1985,R.26(4),"Master or owner of ship may not destroy the drug, shall dispose of it to a constable or person who may lawfully supply it. / CJS:",6 months or L5 or both,S 93/40,S 93/40,S 93/40,2 years,S 93/40,S 93/40,Yes,2009 or earlier
9340,Misuse of Drugs Regulations 1985,R.27,Register record book preserved under Reg 22 or 23 preserved for same period as if Act not been repealed.,6 months or L5 or both,S 93/40,S 93/40,S 93/40,2 years,S 93/40,S 93/40,Yes,2009 or earlier
9340,Misuse of Drugs (Safe Custody) Regulations 1973,R.3(2) & (3),Occupier or manager of premises failing to keep drugs in locked store which complies with specifications set out in Schedule 2 or with terms of police certificate. / CJS: MR73001,6 months or L5 or both,S 93/40,S 93/40,S 93/40,2 years,S 93/40 ,S 93/40 ,Yes,2009 or earlier
9340,Misuse of Drugs (Safe Custody) Regulations 1973,R.5(1),"Failure to keep drugs which are kept otherwise than in a locked store, in locked receptacle. / CJS: MR73002",6 months or L5 or both,S 93/40,S 93/40,S 93/40,2 years,S 93/40,S 93/40 ,Yes,2009 or earlier
9977,Mobile Telephones (Re-programming) Act 2002 ,S.1,Re-programming mobile telephone etc. / CJS: MT02001,6 months or L5 or both,S 99/77,S 99/77,S 99/77,5 years,S 99/77,S 99/77,Yes,2009 or earlier
9978,Mobile Telephones (Re-programming) Act 2002,S.2,Possession or supply of anything for re-programming purposes / CJS: MT02002-4,6 months or L5 or both,S 99/78,S 99/78,S 99/78,5 years,S 99/78,S 99/78,Yes,2009 or earlier
9999,Mock Auctions Act 1961,,An offence to conduct or promote or assist in the conduct of a mock auction. / CJS: MA61001-3,3 months or L5 or both,S 99/99,S 99/99,S 99/99,2 years,S 99/99,S 99/99,Yes,2009 or earlier
3809,Money Laundering Regulations 2007,R.45,Failure to comply with regulations / CJS: ML07001,L5,038/09,038/09,038/09,2 years or fine or both,038/09,038/09,Yes,2012
82599,Motor Cycle Noise Act 1987,,Supply of exhaust systems etc not complying with prescribed requirements. / CJS:,3 months or L5,-,825/99,825/99,-,-,825/99,No,2009 or earlier
82401,Motor Cycle (Protective Helmets) Regulations 1998,,Driving or riding on a motor bicycle without wearing protective headgear / CJS: MP80001,L3,-,824/01,824/01,-,-,824/01,No,2009 or earlier
